judgeName,timeTaken,chosen,notChosen,createdAt
chec.b,316445,KNRAC5,B3SXKQ,29/04/2020 10:35
chec.b,512668,JPLJMG,KAQDP6,29/04/2020 10:43
chec.b,687773,7ZGMMM,UZ5JXP,29/04/2020 10:56
chec.b,335648,QEDY2Q,XFDS9L,29/04/2020 11:06
chec.b,296927,FZ5SSR,SYRK9H,29/04/2020 11:11
chec.b,475960,NRHLWZ,GXBBXE,02/05/2020 01:24
chec.b,182621,SYRK9H,LXWSDB,02/05/2020 01:27
chec.b,2852115,USD3FM,7ZGMMM,02/05/2020 02:14
chec.b,269064,QEDY2Q,ATTJD5,02/05/2020 02:19
chec.b,218153,KNRAC5,FW2NL5,02/05/2020 02:23
chec.b,83686,FZ5SSR,7ZGMMM,02/05/2020 02:24
chec.b,663937,KA7QET,2DLQNF,02/05/2020 02:35
chec.b,83324449,GPFLE3,UP9CRQ,03/05/2020 01:44
chec.b,203441,QEDY2Q,PVTCYX,03/05/2020 01:47
chec.b,200186,NRHLWZ,LXWSDB,03/05/2020 01:51
chec.b,188017,7ZGMMM,W6AQFG,03/05/2020 01:54
chec.b,301290,B3SXKQ,D9QZAP,03/05/2020 01:59
chec.b,359679,RA6CY5,3VSBPG,03/05/2020 02:05
chec.b,425065,TZ3P7X,KA7QET,03/05/2020 02:12
chec.b,11202511,ATTJD5,2DLQNF,03/05/2020 05:19
chec.b,251461,XKYK63,HP5FJM,03/05/2020 05:23
chec.b,254923,GBFWXF,K666ZB,03/05/2020 05:27
chec.b,376915,FZ5SSR,EWXRWA,03/05/2020 05:34
chec.b,1756854,VAUF6Z,UZ5JXP,03/05/2020 06:03
chec.b,11867,TZ3P7X,W6AQFG,04/05/2020 23:05
chec.b,325889,XFDS9L,JPLJMG,04/05/2020 23:11
chec.b,16925,7ZGMMM,D9QZAP,04/05/2020 23:11
chec.b,92333,UZ5JXP,FW2NL5,04/05/2020 23:13
chec.b,306079,3VSBPG,B3SXKQ,04/05/2020 23:18
chec.b,41776,FZ5SSR,UZ5JXP,04/05/2020 23:18
chec.b,386058,UP9CRQ,GXBBXE,04/05/2020 23:25
chec.b,50066,ATTJD5,VKSDGA,04/05/2020 23:26
chec.b,160980,XKYK63,GXBBXE,04/05/2020 23:29
chec.b,158508,RA6CY5,K666ZB,04/05/2020 23:31
chec.b,172524,EWXRWA,VKSDGA,04/05/2020 23:34
chec.b,270150,KAQDP6,6A9RP5,04/05/2020 23:39
chec.b,221949,KNRAC5,SSR2GF,04/05/2020 23:42
chec.b,374011,XKYK63,USXLHX,04/05/2020 23:49
chec.b,53110,USXLHX,HXKKYH,04/05/2020 23:50
chec.b,305231,KA7QET,RHTKF7,04/05/2020 23:55
chec.b,131847,HXKKYH,5PSEPL,04/05/2020 23:57
chec.b,70476,KAQDP6,HP5FJM,04/05/2020 23:58
chec.b,40078,JPLJMG,LH7GCM,04/05/2020 23:59
chec.b,168487,B3SXKQ,2DLQNF,05/05/2020 00:02
chec.b,3149869,GPFLE3,USD3FM,05/05/2020 00:54
chec.b,184905,RA6CY5,NRHLWZ,05/05/2020 00:57
chec.b,267798,KNRAC5,SYRK9H,05/05/2020 01:02
chec.b,92659,GPFLE3,W6AQFG,05/05/2020 01:03
chec.b,20516,7ZGMMM,B3SXKQ,05/05/2020 01:04
chec.b,296368,QEDY2Q,K666ZB,05/05/2020 01:09
chec.b,70478,GPFLE3,FW2NL5,05/05/2020 01:10
chec.b,514227,RHTKF7,3VSBPG,05/05/2020 01:19
chec.b,138973,FZ5SSR,FW2NL5,05/05/2020 01:21
chec.b,68027,VAUF6Z,LXWSDB,05/05/2020 01:22
chec.b,112041,FZ5SSR,UP9CRQ,05/05/2020 01:24
chec.b,183783,UP9CRQ,ATTJD5,05/05/2020 01:27
chec.b,362647,GBFWXF,WP75QJ,05/05/2020 01:33
chec.b,270319,EWXRWA,XKYK63,05/05/2020 01:38
